,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,5,3,3
1,2008-05-18,6,17,12,7
2,2008-05-19,10,10,4,10
3,2008-05-20,2,3,2,8
4,2008-05-21,5,2,8,0
5,2008-05-22,0,7,6,13
6,2008-05-23,8,3,6,9
7,2008-05-24,7,4,1,1
8,2008-05-25,3,1,2,1
9,2008-05-26,2,9,5,0
10,2008-05-27,7,5,6,4
11,2008-05-28,6,7,4,4
12,2008-05-29,6,6,7,5
13,2008-05-30,9,11,7,6
14,2008-05-31,4,5,1,0
15,2008-06-01,0,2,1,7
16,2008-06-02,11,7,5,3
17,2008-06-03,8,4,2,2
18,2008-06-04,7,4,5,10
19,2008-06-05,5,5,7,0
20,2008-06-06,4,5,7,7
21,2008-06-07,4,4,7,3
22,2008-06-08,8,9,7,4
23,2008-06-09,16,8,1,0
