Initializing simulation at 2019-06-23 22:26:50.537811
m.e. ecgojtyt started at 04:01:07
m.e. ecgojtyt finished at 04:21:18
m.e. iovhar started at 07:53:58
m.e. owbsuscs started at 07:53:58
m.e. ubzachy started at 07:53:59
m.e. abjoolaw started at 07:53:59
m.e. oiphye started at 07:53:59
m.e. ailbcuv started at 07:53:59
m.e. ubjajo started at 07:53:59
m.e. occeyd started at 07:53:59
m.e. oshyon started at 07:54:00
m.e. idsmuk started at 07:54:00
m.e. agdrea started at 07:54:00
m.e. adkavy started at 07:54:00
m.e. orkbats started at 07:54:00
m.e. ojfieza started at 07:54:00
m.e. ojfieza finished at 07:54:00
m.e. odscixam started at 07:54:00
m.e. erulghiv started at 07:54:00
m.e. odolfev started at 07:54:00
m.e. icagpony started at 07:54:00
m.e. acitva started at 07:54:00
m.e. ilkble started at 07:54:00
m.e. itquirla started at 07:54:01
m.e. enjubpl started at 07:54:01
m.e. efonve started at 07:54:01
m.e. ufdoyno started at 07:54:01
m.e. evdyffu started at 07:54:01
m.e. opjermp started at 07:54:02
m.e. edlyxy started at 07:54:03
m.e. ijhigof started at 07:54:03
m.e. itpivoa started at 07:54:04
m.e. ubzachy finished at 07:54:04
m.e. oafhynu started at 07:54:06
m.e. aniajcr started at 07:54:08
m.e. ajsnedsi started at 07:54:29
m.e. agyamker started at 07:54:30
m.e. edrafs started at 07:54:30
m.e. eghanwib started at 07:54:32
m.e. ibpijda started at 07:54:37
m.e. oggluv started at 07:55:17
m.e. odocjeca started at 07:55:21
m.e. ejkipub started at 07:55:23
m.e. edrafs finished at 07:55:29
m.e. ijhigof finished at 07:55:30
m.e. itquirla finished at 07:55:51
m.e. eufdod started at 07:56:10
m.e. aivtytan started at 07:56:12
m.e. agyamker finished at 07:56:23
m.e. itpivoa finished at 07:56:32
m.e. ebdafya started at 07:56:33
m.e. agdrea finished at 07:56:37
m.e. owbsuscs finished at 07:56:42
m.e. ukgoaf started at 07:57:03
m.e. evtitdea started at 07:57:33
m.e. edlyxy finished at 07:57:38
m.e. odolfev finished at 07:57:47
m.e. erulghiv finished at 07:57:57
m.e. orkbats finished at 07:58:00
m.e. edrafs started at 07:58:21
m.e. oiphye finished at 07:58:22
m.e. ufdoyno finished at 07:58:39
m.e. orrrar started at 07:58:47
m.e. afsfat started at 07:58:49
